Scenario,TradingDate,Symbol,Price,Score,Target,StopLoss,ExpProfit,SMA20,vsSMA20,YTD,LastMonth,Price5d,PnL5d,Price10d,PnL10d,MaxPrice10d,Status
10%/10d,2026-03-02,AMAT,372.18,54,392.24,362.25,5.4,372.56,Under,39.3,13.3,339.02,-8.91,346.18,-6.99,362.34,STOPPED OUT
10%/10d,2026-03-02,EL,100.16,54,104.31,94.42,4.1,107.77,Under,-5.4,-15.7,92.64,-7.51,88.77,-11.37,102.85,STOPPED OUT
10%/10d,2026-03-02,TER,325.82,54,350.84,308.4,7.7,323.55,Above,59.9,30.6,296.43,-9.02,298.23,-8.47,315.0,STOPPED OUT
10%/10d,2026-03-02,DLTR,119.87,51,123.84,116.07,3.3,124.26,Under,-5.0,2.3,115.84,-3.36,114.2,-4.73,120.48,STOPPED OUT
5%/10d,2026-03-13,CNC,34.46,91,36.49,33.12,5.9,34.99,Under,-16.2,-15.1,34.39,-0.2,32.81,-4.79,37.05,HIT TARGET
5%/10d,2026-03-13,ALB,158.21,86,172.6,150.02,9.1,162.83,Under,11.0,-4.9,156.65,-0.99,167.56,5.91,171.0,MISSED
5%/10d,2026-03-13,ORCL,155.1,65,160.61,148.82,3.5,159.8,Under,-20.3,-3.1,149.66,-3.51,154.34,-0.49,158.92,MISSED
5%/10d,2026-03-13,ETHA,15.88,64,16.58,15.11,4.4,15.77,Above,-31.6,2.8,16.11,1.45,16.28,2.52,17.82,HIT TARGET
5%/10d,2026-03-13,GE,299.73,60,308.07,288.08,2.8,309.95,Under,-4.3,-5.0,286.55,-4.4,291.54,-2.73,306.0,MISSED
5%/10d,2026-03-13,XAR,265.11,48,271.5,258.23,2.4,270.88,Under,9.0,-2.1,259.0,-2.3,262.84,-0.86,275.0,HIT TARGET
5%/10d,2026-03-13,IBIT,40.37,43,41.42,38.96,2.6,40.21,Above,-20.1,3.6,39.79,-1.44,40.05,-0.79,42.5,HIT TARGET
5%/10d,2026-03-13,AAL,10.32,86,10.82,9.95,4.9,10.67,Under,-32.1,-25.7,10.44,1.16,10.81,4.75,11.33,HIT TARGET
5%/10d,2026-03-13,BKR,54.26,86,56.51,52.35,4.1,56.42,Under,17.9,-11.3,60.35,11.22,62.53,15.24,63.13,HIT TARGET
